id,carNum,ownerName,vin,phone,area,type,buyTime,yearCheck,remark
0,豫AD59299,张三,482,1452238765,2,2,2023-09-04T11:10:20Z,00,
1,豫A1P2Q8,张三,483,1452238766,3,3,2023-03-04T12:47:41Z,01,
2,豫AD36116,张三,484,1452238767,4,4,2023-02-14T19:26:09Z,02,
3,豫AD97587,张三,485,1452238768,5,5,2023-04-19T19:31:54Z,03,
4,豫A1P2Q8,张三,486,1452238769,6,6,2023-04-04T17:27:36Z,04,
5,豫AD86950,张三,487,1452238770,7,7,2023-06-23T14:47:29Z,05,
6,豫AD98833,张三,488,1452238771,8,8,2023-03-05T14:50:12Z,06,
7,豫AD34765,张三,489,1452238772,9,9,2023-05-19T21:57:01Z,07,
8,豫AD22083,张三,490,1452238773,10,10,2023-06-07T21:59:46Z,08,
9,豫A1P2Q8,张三,491,1452238774,11,11,2023-07-07T10:41:53Z,09,
10,豫AD11511,张三,492,1452238775,12,12,2023-05-11T16:52:04Z,10,
11,豫AD64990,张三,493,1452238776,13,13,2023-01-10T22:07:52Z,11,
12,豫AD99483,张三,494,1452238777,14,14,2023-11-05T13:58:23Z,12,
13,豫AD58072,张三,495,1452238778,15,15,2023-10-28T10:54:27Z,13,
14,豫AD31113,张三,496,1452238779,16,16,2023-11-05T11:18:44Z,14,
15,豫AD61273,张三,497,1452238780,17,17,2023-08-28T05:48:46Z,15,
16,豫AD16628,张三,498,1452238781,18,18,2023-11-07T13:28:42Z,16,
17,豫AD45484,张三,499,1452238782,19,19,2023-06-24T22:37:22Z,17,
18,豫AD80983,张三,500,1452238783,20,20,2023-02-06T08:03:20Z,18,
19,豫AD29511,张三,501,1452238784,21,21,2023-06-17T01:45:05Z,19,
20,豫AD69421,张三,502,1452238785,22,22,2023-07-20T03:35:10Z,20,
21,豫AD47558,张三,503,1452238786,23,23,2023-10-02T16:43:44Z,21,
22,豫AD45236,张三,504,1452238787,24,24,2023-09-07T22:25:09Z,22,
23,豫AD67281,张三,505,1452238788,25,25,2023-09-28T20:47:39Z,23,
24,豫AD21156,张三,506,1452238789,26,26,2023-10-15T13:37:26Z,24,
25,豫AD33797,张三,507,1452238790,27,27,2023-02-21T09:13:41Z,25,
26,豫AD10174,张三,508,1452238791,28,28,2023-06-28T17:49:21Z,26,
27,豫AD67735,张三,509,1452238792,29,29,2023-05-24T01:16:54Z,27,
28,豫AD60015,张三,510,1452238793,30,30,2023-05-09T02:05:27Z,28,
29,豫AD60747,张三,511,1452238794,31,31,2023-12-14T06:38:43Z,29,
30,豫AD89015,张三,512,1452238795,32,32,2023-05-06T23:32:35Z,30,
31,豫AD52221,张三,513,1452238796,33,33,2023-06-23T08:15:17Z,31,
32,豫AD21054,张三,514,1452238797,34,34,2023-05-01T17:20:36Z,32,
33,豫AD44497,张三,515,1452238798,35,35,2023-04-12T22:50:17Z,33,
34,豫AD10236,张三,516,1452238799,36,36,2023-09-27T22:50:29Z,34,
35,豫AD40040,张三,517,1452238800,37,37,2023-11-01T04:33:46Z,35,
36,豫AD72453,张三,518,1452238801,38,38,2023-09-08T05:41:52Z,36,
37,豫AD24073,张三,519,1452238802,39,39,2023-10-11T20:23:16Z,37,
38,豫AD32205,张三,520,1452238803,40,40,2023-09-09T19:25:43Z,38,
39,豫AD63195,张三,521,1452238804,41,41,2023-02-26T08:43:50Z,39,
40,豫AD86842,张三,522,1452238805,42,42,2023-03-24T18:21:28Z,40,
